column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,400,400,3100,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,22.8025,477.811,485.418,151.437,35.3792,0
2,2,1002,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,28.5789,478.517,475.539,154.897,28.121,0
5,5,1005,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,23.5865,479.08,481.775,156.488,30.6707,0
6,6,1006,400,400,3100,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,22.6859,471.347,490.71,153.633,29.4261,0
7,7,1007,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,0,1,8,150,4,4,22.3815,475.303,479.093,157.291,29.0789,0
8,8,1008,650,650,3100,10.5625,0,13.3333,347.826,30,25,20,6,5,8,75,5,5,24.6822,490.043,476.099,77.2654,31.3614,0
9,9,1009,500,500,3100,6.25,0,13.3333,347.826,30,25,20,1,1,8,125,4,4,26.1614,481.504,480.857,130.154,28.3094,0
10,10,1010,500,500,3100,6.25,0,13.3333,347.826,30,25,20,1,1,8,125,4,4,25.0818,481.979,475.092,125.714,30.471,0
11,11,1011,650,650,3100,10.5625,0,13.3333,347.826,30,25,20,6,5,8,75,5,5,22.5223,483.259,477.526,78.4338,28.7768,0
12,12,1012,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,0,1,8,150,4,4,29.3209,488.863,479.083,150.96,32.229,0
13,13,1013,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,0,1,8,150,4,4,25.0076,477.585,471.127,154.86,27.2804,0
14,14,1014,650,650,3100,10.5625,0,13.3333,347.826,30,25,20,6,5,8,75,5,5,27.2003,474.213,476.499,75.9723,28.3133,0
15,15,1015,500,500,3100,6.25,0,13.3333,347.826,30,25,20,1,2,8,125,4,4,25.1115,480.156,486.501,127.107,31.8062,0
16,16,1016,500,500,3100,6.25,0,13.3333,347.826,30,25,20,1,2,8,125,4,4,24.973,475.114,483.694,129.473,29.8972,0
17,17,1017,650,650,3100,10.5625,0,13.3333,347.826,30,25,20,6,5,8,75,5,5,21.768,487.459,472.456,75.623,24.9762,0
18,18,1018,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,0,1,8,150,4,4,23.4224,484.56,482.645,153.363,38.5811,0
19,19,1019,400,400,3100,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,23.878,482.785,473.058,155.953,28.8663,0
20,20,1020,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,1,0,8,150,4,4,26.0923,489.364,474.34,151.702,31.8603,0
21,21,1021,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,0,3,8,125,4,4,28.0746,486.461,472.153,131.225,31.6562,0
22,22,1022,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,0,3,8,125,4,4,24.7398,489.92,479.731,128.751,26.464,0
23,23,1023,450,450,3100,5.0625,0,13.3333,347.826,30,25,20,1,0,8,150,4,4,24.9596,477.355,477.452,150.829,28.2021,0
24,24,1024,350,350,3100,3.0625,0,13.3333,347.826,30,25,20,0,0,8,125,4,4,22.0409,479.099,479.736,125.051,30.8033,0
1001,1001,2001,400,400,2800,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,25.9225,481.502,477.487,150.256,28.513,0
1002,1002,2002,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,2,8,150,4,4,28.068,477.669,479.299,156.903,37.7973,0
1005,1005,2005,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,2,8,150,4,4,23.2154,484.396,475.858,152.874,28.5514,0
1006,1006,2006,400,400,2800,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,19.1143,478.405,487.308,157.462,30.5939,0
1007,1007,2007,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,2,0,8,150,4,4,23.1861,477.629,473.922,150.685,34.2534,0
1008,1008,2008,650,650,2800,10.5625,0,13.3333,347.826,30,25,20,4,0,8,150,5,5,26.3123,478.448,471.468,153.886,29.7527,0
1009,1009,2009,500,500,2800,6.25,0,13.3333,347.826,30,25,20,1,2,8,150,4,4,24.74,474.31,473.529,150.315,33.2376,0
1010,1010,2010,500,500,2800,6.25,0,13.3333,347.826,30,25,20,1,2,8,150,4,4,28.5725,482.273,478.453,156.513,30.3599,0
1011,1011,2011,650,650,2800,10.5625,0,13.3333,347.826,30,25,20,4,0,8,150,5,5,22.5046,482.15,469.725,151.522,29.301,0
1012,1012,2012,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,2,0,8,150,4,4,28.8177,482.261,477.83,155.53,30.7605,0
1013,1013,2013,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,2,0,8,150,4,4,25.9281,480.506,471.371,150.002,30.5513,0
1014,1014,2014,650,650,2800,10.5625,0,13.3333,347.826,30,25,20,4,0,8,150,5,5,29.3284,481.394,481.87,156.82,28.2171,0
1015,1015,2015,500,500,2800,6.25,0,13.3333,347.826,30,25,20,1,3,8,125,4,4,29.3985,480.967,481.916,127.612,26.3263,0
1016,1016,2016,500,500,2800,6.25,0,13.3333,347.826,30,25,20,1,3,8,125,4,4,24.3494,479.333,479.466,130.925,26.896,0
1017,1017,2017,650,650,2800,10.5625,0,13.3333,347.826,30,25,20,4,0,8,150,5,5,25.3546,479.395,478.601,151.928,24.183,0
1018,1018,2018,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,2,0,8,150,4,4,21.1605,473.82,481.198,153.956,32.7244,0
1019,1019,2019,400,400,2800,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,23.5577,472.977,485.015,152.274,33.2248,0
1020,1020,2020,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,24.637,485.319,481.857,153.902,35.2496,0
1021,1021,2021,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,0,3,8,150,4,4,23.7665,482.379,471.577,156.312,28.8396,0
1022,1022,2022,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,0,3,8,150,4,4,23.6314,474.573,482.931,154.569,32.5873,0
1023,1023,2023,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,23.8073,471.565,479.285,154.134,32.3511,0
1024,1024,2024,350,350,2800,3.0625,0,13.3333,347.826,30,25,20,0,0,8,125,4,4,23.7647,479.732,482.307,128.14,24.6271,0
2001,2001,3001,400,400,2800,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,24.2341,474.54,488.122,151.526,33.9184,0
2002,2002,3002,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,24.8724,475.206,485.018,152.036,31.8377,0
2005,2005,3005,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,21.6137,489.056,478.11,155.944,25.9482,0
2006,2006,3006,400,400,2800,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,27.4251,481.313,477.184,157.19,26.325,0
2007,2007,3007,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,2,1,8,150,4,4,22.8749,476.6,478.395,152.066,27.83,0
2008,2008,3008,650,650,2800,10.5625,0,13.3333,347.826,30,25,20,4,0,8,150,5,5,23.3231,479.546,472.104,153.281,31.7645,0
2009,2009,3009,500,500,2800,6.25,0,13.3333,347.826,30,25,20,1,2,8,150,4,4,24.8097,488.327,476.454,153.378,28.2138,0
2010,2010,3010,500,500,2800,6.25,0,13.3333,347.826,30,25,20,1,2,8,150,4,4,21.9466,480.058,490.19,153.867,30.6315,0
2011,2011,3011,650,650,2800,10.5625,0,13.3333,347.826,30,25,20,4,0,8,150,5,5,19.7195,480.883,483.278,152.592,26.1485,0
2012,2012,3012,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,2,1,8,150,4,4,23.2984,476.996,478.744,154.856,31.3993,0
2013,2013,3013,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,2,1,8,150,4,4,25.6369,478.392,479.914,154.49,34.6293,0
2014,2014,3014,650,650,2800,10.5625,0,13.3333,347.826,30,25,20,4,0,8,150,5,5,26.6225,483.641,483.773,153.536,30.3482,0
2015,2015,3015,500,500,2800,6.25,0,13.3333,347.826,30,25,20,1,4,8,150,4,4,24.5389,470.881,479.004,154.938,29.7459,0
2016,2016,3016,500,500,2800,6.25,0,13.3333,347.826,30,25,20,1,4,8,150,4,4,24.2296,483.711,475.974,151.867,29.0318,0
2017,2017,3017,650,650,2800,10.5625,0,13.3333,347.826,30,25,20,4,0,8,150,5,5,26.3292,482.081,482.292,156.848,24.4966,0
2018,2018,3018,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,2,1,8,150,4,4,24.2088,474.854,489.962,151.825,30.833,0
2019,2019,3019,400,400,2800,4,0,13.3333,347.826,30,25,20,0,0,8,150,4,4,27.4582,477.07,471.854,150.643,31.644,0
2020,2020,3020,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,26.9489,481.675,477.529,152.459,34.8944,0
2021,2021,3021,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,0,4,8,150,4,4,26.475,477.692,483.909,152.566,29.5599,0
2022,2022,3022,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,0,4,8,150,4,4,22.8794,476.214,479.99,155.961,31.7707,0
2023,2023,3023,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,25.0549,479.902,479.129,154.418,28.4492,0
2024,2024,3024,350,350,2800,3.0625,0,13.3333,347.826,30,25,20,1,1,8,125,4,4,28.5054,479.716,476.979,127.429,25.5841,0
3001,3001,4001,400,400,2800,4,0,13.3333,347.826,30,25,20,1,0,8,150,4,4,22.5161,491.193,486.032,152.09,39.035,0
3002,3002,4002,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,24.7036,476.739,488.482,154.785,28.4783,0
3005,3005,4005,450,450,2800,5.0625,0,13.3333,347.826,30,25,20,1,1,8,150,4,4,26.4159,481.772,478.209,155.901,25.5918,0
3006,3006,4006,400,400,2800,4,0,13.3333,347.826,30,25,20,1,0,8,150,4,4,28.2697,489.665,478.237,151.183,33.0406,0
