beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1025,1001,1002,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,25,2,25,0,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,0,8,100,2,2,23.7998,476,475.936,101.731,126.428,102.557,26.6427,0
1026,1002,1003,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,25,2,25,0,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,1,8,100,2,2,26.2279,488.118,481.402,103.033,127.654,101.96,30.2142,0
1027,1003,1004,300,550,3000,4.125,0,4.125,0,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,100,2,2,25,2,25,1,25,2,25,1,8,75,2,2,25.434,482.297,481.373,75.6311,104.502,76.0481,33.4026,0
1028,1004,1005,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,25,2,25,1,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,0,8,100,2,2,24.4611,484.006,476.983,102.47,126.459,102.309,28.5954,0
1029,1005,1006,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,25,2,25,0,8,100,2,2,25,2,25,0,25,2,25,0,8,125,2,2,25,2,25,1,25,2,25,0,8,100,2,2,25.9981,477.467,488.936,103.157,125.311,104.677,27.4687,0
1030,1007,1008,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,1,8,75,2,2,26.0027,476.544,486.052,77.597,154.948,76.9951,32.7852,0
1031,1008,1009,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,2,8,75,2,2,23.4717,470.441,475.487,78.4954,154.151,78.1424,27.3841,0
1032,1009,1010,300,650,3000,22.125,8.25,20.6876,7.75005,13.3333,347.826,30,25,2,25,2,25,2,25,2,8,50,2,2,25,2,25,0,25,2,25,0,8,75,2,2,25,2,25,2,25,2,25,2,8,50,2,2,24.9786,477.151,478.242,50.46,75.5344,51.857,31.0536,0
1033,1010,1011,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,2,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,1,8,75,2,2,24.3562,475.983,481.619,77.6473,150.902,75.2551,31.4422,0
1034,1011,1012,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,1,8,75,2,2,24.8969,484.513,485.919,78.2159,154.482,76.1293,30.1649,0
1035,1013,1014,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,1,8,75,2,2,24.1163,479.656,486.888,76.5244,156.146,77.0682,25.8003,0
1036,1014,1015,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,2,8,75,2,2,20.8587,480.482,477.635,77.5217,157.424,75.061,27.219,0
1037,1015,1016,300,650,3000,13.5,3,10.6253,2.0001,13.3333,347.826,30,25,2,25,2,25,2,25,2,8,50,2,2,25,2,25,0,25,2,25,0,8,75,2,2,25,2,25,2,25,2,25,2,8,50,2,2,29.4986,491.253,482.857,50.5758,77.1077,51.3729,31.4292,0
1038,1016,1017,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,2,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,1,8,75,2,2,23.9849,484.079,471.715,77.4139,151.14,75.8074,31.6653,0
1039,1017,1018,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,1,8,75,2,2,25.6075,484.491,481.274,77.9498,154.901,76.9995,38.5682,0
1040,1019,1020,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,26.1084,482.037,478.258,101.621,126.661,101.444,32.1676,0
1041,1020,1021,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,2,8,100,2,2,22.6649,482.887,483.239,104.304,126.789,100.085,25.7893,0
1042,1021,1022,300,550,3000,15.4375,1.5,14.0001,1.00005,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,75,2,2,25,2,25,0,20,2,20,0,8,100,2,2,25,2,25,1,20,2,20,2,8,75,2,2,23.8508,480.316,478.677,78.1828,100.873,75.3795,30.2388,0
1043,1022,1023,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,24.6603,478.055,476.144,100.107,129.733,104.662,30.8767,0
1044,1023,1024,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,26.732,483.528,477.981,101.705,129.237,102.959,25.6604,0
2025,2001,2002,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,25.2779,483.1,483.586,102.409,126.709,103.068,30.8463,0
2026,2002,2003,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,2,8,100,2,2,27.2763,486.304,484.621,100.123,130.752,103.39,28.9771,0
2027,2003,2004,300,550,3000,4.125,0,4.125,0,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,75,2,2,25,2,25,0,20,2,20,0,8,100,2,2,25,2,25,1,20,2,20,2,8,75,2,2,25.9865,475.652,477.215,75.5008,100.808,77.0825,27.3545,0
2028,2004,2005,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,2,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,22.8318,488.98,479.261,104.029,127.793,104.059,28.6017,0
2029,2005,2006,300,550,4500,17.5938,2.25,15.4377,1.50007,13.3333,347.826,30,25,2,25,1,20,2,20,1,8,100,2,2,25,2,25,0,20,2,20,0,8,125,2,2,25,2,25,1,20,2,20,1,8,100,2,2,25.6171,479.647,470.148,103.69,127.282,101.496,31.2483,0
2030,2007,2008,300,650,4500,17.8125,4.5,13.5004,3.00015,13.3333,347.826,30,25,2,25,2,25,2,25,1,8,75,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,1,8,75,2,2,25.3383,479.614,483.237,77.0189,153.19,75.0314,29.6188,0
