beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1025,1001,1002,250,400,4500,15.7,2.25,13.6002,1.50007,7,140,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,18.6999,285.6,285.562,152.597,151.714,153.836,26.6427,0.5
1026,1002,1003,250,400,4500,15.7,2.25,13.6002,1.50007,7,140,30,25,2,25,1,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,20.6076,292.871,288.841,154.549,153.185,152.94,30.2142,0.5
1027,1003,1004,250,400,3000,2.4,0,2.4,0,7,140,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,19.9838,289.378,288.824,151.262,156.752,152.096,33.4026,0.5
1028,1004,1005,250,400,4500,15.7,2.25,13.6002,1.50007,7,140,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,19.2194,290.403,286.19,153.705,151.751,153.463,28.5954,0.5
1029,1005,1006,250,400,4500,15.7,2.25,13.6002,1.50007,7,140,30,25,2,25,1,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,20.4271,286.48,293.362,154.736,150.374,157.016,27.4687,0.5
1030,1007,1008,300,500,4500,16.2,4.5,12.0004,3.00015,7,140,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,20.4307,285.926,291.631,155.194,154.948,153.99,32.7852,0.5
1031,1008,1009,300,500,4500,16.2,4.5,12.0004,3.00015,7,140,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,2,20,2,20,2,8,150,2,2,18.442,282.265,285.292,156.991,154.151,156.285,27.3841,0.5
1032,1009,1010,300,500,3000,20.4,8.25,19.0001,7.75005,7,140,30,25,2,25,2,20,2,20,2,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,2,20,2,20,2,8,150,2,2,19.6261,286.291,286.945,151.38,151.069,155.571,31.0536,0.5
1033,1010,1011,300,500,4500,16.2,4.5,12.0004,3.00015,7,140,30,25,2,25,2,20,2,20,2,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,19.137,285.59,288.971,155.295,150.902,150.51,31.4422,0.5
1034,1011,1012,300,500,4500,16.2,4.5,12.0004,3.00015,7,140,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,19.5619,290.708,291.552,156.432,154.482,152.259,30.1649,0.5
1035,1013,1014,250,500,4500,15.6,4.5,11.4004,3.00015,7,140,30,25,2,25,1,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,1,25,2,25,0,8,150,2,2,18.9485,287.793,292.133,153.049,156.146,154.136,25.8003,0.5
1036,1014,1015,250,500,4500,15.6,4.5,11.4004,3.00015,7,140,30,25,2,25,1,25,2,25,0,8,150,2,2,25,2,25,0,25,2,25,0,8,150,2,2,25,2,25,2,25,2,25,1,8,150,2,2,16.389,288.289,286.581,155.043,157.424,150.122,27.219,0.5
