column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,450,450,3100,4.86,0,7,140,30,12,12,4,2,6,50,2,2,17.9163,286.686,291.251,50.4789,35.3792,0.5
2,2,1002,550,550,3100,7.26,0,7,140,30,20,16,4,2,6,50,3,3,22.4548,287.11,285.324,51.6323,28.121,0.5
5,5,1005,550,550,3100,7.26,0,7,140,30,20,16,4,2,6,50,3,3,18.5322,287.448,289.065,52.1627,30.6707,0.5
6,6,1006,450,450,3100,4.86,0,7,140,30,12,12,4,2,6,50,2,2,17.8246,282.808,294.426,51.211,29.4261,0.5
7,7,1007,550,550,3100,7.26,0,7,140,30,20,16,3,3,6,50,3,3,17.5854,285.182,287.456,52.4305,29.0789,0.5
8,8,1008,650,650,3100,10.14,0,7,140,30,20,16,9,7,6,50,4,4,19.3932,294.026,285.659,51.5103,31.3614,0.5
9,9,1009,750,750,3100,13.5,0,7,140,30,25,25,5,5,8,50,4,4,20.5554,288.903,288.514,52.0615,28.3094,0.5
10,10,1010,750,750,3100,13.5,0,7,140,30,25,25,5,5,8,50,4,4,19.7071,289.187,285.055,50.2856,30.471,0.5
11,11,1011,650,650,3100,10.14,0,7,140,30,20,16,9,7,6,50,4,4,17.6961,289.955,286.516,52.2892,28.7768,0.5
12,12,1012,550,550,3100,7.26,0,7,140,30,20,16,3,3,6,50,3,3,23.0379,293.318,287.45,50.32,32.229,0.5
13,13,1013,550,550,3100,7.26,0,7,140,30,20,16,3,3,6,50,3,3,19.6488,286.551,282.676,51.6201,27.2804,0.5
14,14,1014,650,650,3100,10.14,0,7,140,30,20,16,9,8,6,50,5,4,21.3717,284.528,285.9,50.6482,28.3133,0.5
15,15,1015,750,750,3100,13.5,0,7,140,30,25,25,5,5,8,50,4,4,19.7305,288.094,291.9,50.8427,31.8062,0.5
16,16,1016,750,750,3100,13.5,0,7,140,30,25,25,5,5,8,50,4,4,19.6216,285.068,290.217,51.789,29.8972,0.5
17,17,1017,650,650,3100,10.14,0,7,140,30,20,16,9,8,6,50,5,4,17.1034,292.475,283.474,50.4154,24.9762,0.5
18,18,1018,550,550,3100,7.26,0,7,140,30,20,16,3,3,6,50,3,3,18.4033,290.736,289.587,51.121,38.5811,0.5
19,19,1019,450,450,3100,4.86,0,7,140,30,16,12,2,1,6,50,2,2,18.7613,289.671,283.835,51.9842,28.8663,0.5
20,20,1020,550,550,3100,7.26,0,7,140,30,20,16,4,2,6,50,3,3,20.5011,293.618,284.604,50.5674,31.8603,0.5
21,21,1021,500,500,3100,6,0,7,140,30,20,20,2,1,6,50,3,3,22.0586,291.876,283.292,52.4899,31.6562,0.5
22,22,1022,500,500,3100,6,0,7,140,30,20,20,2,1,6,50,3,3,19.4384,293.952,287.839,51.5004,26.464,0.5
23,23,1023,550,550,3100,7.26,0,7,140,30,20,16,4,2,6,50,3,3,19.6111,286.413,286.471,50.2765,28.2021,0.5
24,24,1024,450,450,3100,4.86,0,7,140,30,16,12,2,1,6,50,2,2,17.3179,287.46,287.842,50.0202,30.8033,0.5
1001,1001,2001,450,450,2800,4.86,0,7,140,30,12,12,4,0,6,50,2,2,20.3677,288.901,286.492,50.0854,28.513,0.5
1002,1002,2002,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,2,2,22.0535,286.601,287.58,52.301,37.7973,0.5
1005,1005,2005,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,2,2,18.2407,290.638,285.515,50.958,28.5514,0.5
1006,1006,2006,450,450,2800,4.86,0,7,140,30,12,12,4,0,6,50,2,2,15.0184,287.043,292.385,52.4873,30.5939,0.5
1007,1007,2007,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,2,2,18.2176,286.577,284.353,50.2283,34.2534,0.5
1008,1008,2008,650,650,2800,10.14,0,7,140,30,20,16,0,4,6,50,4,3,20.6739,287.069,282.881,51.2953,29.7527,0.5
1009,1009,2009,750,750,2800,13.5,0,7,140,30,25,25,0,2,8,50,2,2,19.4386,284.586,284.117,50.1051,33.2376,0.5
1010,1010,2010,750,750,2800,13.5,0,7,140,30,25,25,0,2,8,50,2,2,22.4498,289.364,287.072,52.1709,30.3599,0.5
1011,1011,2011,650,650,2800,10.14,0,7,140,30,20,16,0,4,6,50,4,3,17.6822,289.29,281.835,50.5074,29.301,0.5
1012,1012,2012,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,2,2,22.6425,289.356,286.698,51.8435,30.7605,0.5
1013,1013,2013,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,2,2,20.3721,288.304,282.822,50.0006,30.5513,0.5
1014,1014,2014,650,650,2800,10.14,0,7,140,30,20,16,0,4,6,50,4,3,23.0438,288.836,289.122,52.2732,28.2171,0.5
1015,1015,2015,750,750,2800,13.5,0,7,140,30,25,25,0,2,8,50,2,3,23.0988,288.58,289.149,51.0448,26.3263,0.5
1016,1016,2016,750,750,2800,13.5,0,7,140,30,25,25,0,2,8,50,2,3,19.1317,287.6,287.68,52.3699,26.896,0.5
1017,1017,2017,650,650,2800,10.14,0,7,140,30,20,16,0,4,6,50,4,3,19.9215,287.637,287.16,50.6425,24.183,0.5
1018,1018,2018,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,2,2,16.6261,284.292,288.719,51.3187,32.7244,0.5
1019,1019,2019,450,450,2800,4.86,0,7,140,30,16,12,0,3,6,50,2,2,18.5097,283.786,291.009,50.758,33.2248,0.5
1020,1020,2020,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,2,3,19.3576,291.192,289.114,51.3008,35.2496,0.5
1021,1021,2021,500,500,2800,6,0,7,140,30,20,20,1,0,6,50,2,3,18.6737,289.428,282.946,52.1039,28.8396,0.5
1022,1022,2022,500,500,2800,6,0,7,140,30,20,20,1,0,6,50,2,3,18.5675,284.744,289.759,51.523,32.5873,0.5
1023,1023,2023,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,2,3,18.7058,282.939,287.571,51.378,32.3511,0.5
1024,1024,2024,450,450,2800,4.86,0,7,140,30,16,12,0,3,6,50,2,2,18.6722,287.839,289.384,51.256,24.6271,0.5
2001,2001,3001,350,350,2800,2.94,0,7,140,30,12,12,0,2,6,100,2,2,19.0411,284.724,292.873,101.017,33.9184,0.5
2002,2002,3002,500,500,2800,6,0,7,140,30,20,16,0,1,6,50,2,2,19.5426,285.124,291.011,50.6787,31.8377,0.5
2005,2005,3005,500,500,2800,6,0,7,140,30,20,16,0,1,6,50,2,2,16.9822,293.434,286.866,51.9815,25.9482,0.5
2006,2006,3006,350,350,2800,2.94,0,7,140,30,12,12,0,2,6,100,2,2,21.5483,288.788,286.31,104.793,26.325,0.5
2007,2007,3007,500,500,2800,6,0,7,140,30,20,16,0,1,6,50,2,2,17.9731,285.96,287.037,50.6886,27.83,0.5
2008,2008,3008,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,3,2,18.3253,287.728,283.263,51.0935,31.7645,0.5
2009,2009,3009,650,650,2800,10.14,0,7,140,30,25,25,0,1,8,50,2,2,19.4933,292.996,285.872,51.126,28.2138,0.5
2010,2010,3010,650,650,2800,10.14,0,7,140,30,25,25,0,1,8,50,2,2,17.2437,288.035,294.114,51.2889,30.6315,0.5
2011,2011,3011,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,3,2,15.4939,288.53,289.967,50.864,26.1485,0.5
2012,2012,3012,500,500,2800,6,0,7,140,30,20,16,0,1,6,50,2,2,18.3059,286.198,287.246,51.6185,31.3993,0.5
2013,2013,3013,500,500,2800,6,0,7,140,30,20,16,0,1,6,50,2,2,20.1433,287.035,287.948,51.4968,34.6293,0.5
2014,2014,3014,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,3,2,20.9177,290.184,290.264,51.1785,30.3482,0.5
2015,2015,3015,650,650,2800,10.14,0,7,140,30,25,25,0,1,8,50,2,2,19.2806,282.529,287.402,51.646,29.7459,0.5
2016,2016,3016,650,650,2800,10.14,0,7,140,30,25,25,0,1,8,50,2,2,19.0376,290.227,285.585,50.6224,29.0318,0.5
2017,2017,3017,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,50,3,2,20.6872,289.249,289.375,52.2828,24.4966,0.5
2018,2018,3018,500,500,2800,6,0,7,140,30,20,16,0,1,6,50,2,2,19.0212,284.912,293.977,50.6084,30.833,0.5
2019,2019,3019,350,350,2800,2.94,0,7,140,30,16,12,0,1,6,100,2,2,21.5743,286.242,283.112,100.429,31.644,0.5
2020,2020,3020,500,500,2800,6,0,7,140,30,20,16,0,1,6,50,2,2,21.1741,289.005,286.517,50.8196,34.8944,0.5
2021,2021,3021,400,400,2800,3.84,0,7,140,30,20,20,0,0,6,50,2,2,20.8018,286.615,290.345,50.8553,29.5599,0.5
2022,2022,3022,400,400,2800,3.84,0,7,140,30,20,20,0,0,6,50,2,2,17.9767,285.729,287.994,51.987,31.7707,0.5
2023,2023,3023,500,500,2800,6,0,7,140,30,20,16,0,1,6,50,2,2,19.686,287.941,287.477,51.4728,28.4492,0.5
2024,2024,3024,350,350,2800,2.94,0,7,140,30,16,12,0,1,6,100,2,2,22.3971,287.83,286.187,101.943,25.5841,0.5
3001,3001,4001,350,350,2800,2.94,0,7,140,30,12,12,0,2,6,100,2,2,17.6912,294.716,291.619,101.393,39.035,0.5
3002,3002,4002,500,500,2800,6,0,7,140,30,20,16,0,1,6,75,2,2,19.41,286.043,293.089,77.3927,28.4783,0.5
3005,3005,4005,500,500,2800,6,0,7,140,30,20,16,0,1,6,75,2,2,20.7553,289.063,286.925,77.9506,25.5918,0.5
3006,3006,4006,350,350,2800,2.94,0,7,140,30,12,12,0,2,6,100,2,2,22.2119,293.799,286.942,100.789,33.0406,0.5
3007,3007,4007,500,500,2800,6,0,7,140,30,20,16,0,1,6,125,2,2,18.8106,286.328,286.332,128.082,26.9081,0.5
3008,3008,4008,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,100,2,2,15.4992,288.119,289.793,103.062,33.8241,0.5
3009,3009,4009,650,650,2800,10.14,0,7,140,30,25,25,0,1,8,150,2,2,21.5945,290.18,288.401,151.986,28.219,0.5
3010,3010,4010,650,650,2800,10.14,0,7,140,30,25,25,0,1,8,150,2,2,21.248,285.088,286.056,151.033,28.5154,0.5
3011,3011,4011,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,100,2,2,20.6554,289.552,291.101,104.976,23.6367,0.5
3012,3012,4012,500,500,2800,6,0,7,140,30,20,16,0,1,6,125,2,2,18.6483,283.728,290.164,127.069,30.6724,0.5
3013,3013,4013,500,500,2800,6,0,7,140,30,20,16,0,1,6,125,2,2,23.0918,285.701,289.393,127.596,30.5683,0.5
3014,3014,4014,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,100,2,2,19.5475,283.421,288.079,102.003,38.2499,0.5
3015,3015,4015,650,650,2800,10.14,0,7,140,30,25,25,0,1,8,150,2,2,21.4977,286.075,286.244,154.967,31.7277,0.5
3016,3016,4016,650,650,2800,10.14,0,7,140,30,25,25,0,1,8,150,2,2,16.9709,289.06,293.206,156.284,24.2595,0.5
3017,3017,4017,550,550,2800,7.26,0,7,140,30,20,16,0,2,6,100,2,2,20.4085,292.751,286.123,101.761,30.6302,0.5
3018,3018,4018,500,500,2800,6,0,7,140,30,20,16,0,1,6,125,2,2,18.1389,287.888,285.517,125.608,29.2163,0.5
3019,3019,4019,350,350,2800,2.94,0,7,140,30,16,12,0,1,6,100,2,2,19.8684,293.735,282.833,100.137,39.7164,0.5
3020,3020,4020,500,500,2800,6,0,7,140,30,20,16,0,1,6,75,2,2,19.7526,284.815,294.959,78.6826,26.9961,0.5
3021,3021,4021,400,400,2800,3.84,0,7,140,30,20,20,0,0,6,75,2,2,20.7269,291.578,292.759,75.5417,28.5185,0.5
3022,3022,4022,400,400,2800,3.84,0,7,140,30,20,20,0,0,6,75,2,2,22.3105,292.492,286.227,76.2972,28.9562,0.5
3023,3023,4023,500,500,2800,6,0,7,140,30,20,16,0,1,6,75,2,2,21.8734,283.011,276.854,78.7471,29.1912,0.5
3024,3024,4024,350,350,2800,2.94,0,7,140,30,16,12,0,1,6,100,2,2,18.2757,287.495,287.582,100.594,26.937,0.5
4063,3,4025,500,500,1550,6,0,7,140,30,20,16,4,5,6,50,4,3,18.3753,291.736,289.536,50.0873,28.5644,0.5
4064,4025,1003,500,500,1550,6,0,7,140,30,20,16,1,0,8,50,3,2,16.1916,289.909,286.233,50.4559,26.1224,0.5
4065,4,4026,500,500,1550,6,0,7,140,30,20,16,4,5,6,50,4,3,20.16,292.065,288.593,51.1501,26.6949,0.5
4066,4026,1004,500,500,1550,6,0,7,140,30,20,16,1,0,8,50,3,2,18.9654,290.242,287.497,52.3146,28.3174,0.5
4068,1003,4027,500,500,1400,6,0,7,140,30,20,16,2,0,8,75,3,3,19.0947,286.538,287.467,77.2992,28.7112,0.5
4069,4027,2003,500,500,1400,6,0,7,140,30,20,16,1,0,8,75,3,3,20.9037,291.196,288.951,76.1908,30.1828,0.5
4070,1004,4028,500,500,1400,6,0,7,140,30,20,16,2,0,8,75,3,3,18.7877,285.741,290.938,75.7184,28.4238,0.5
4071,4028,2004,500,500,1400,6,0,7,140,30,20,16,1,0,8,75,3,3,21.4506,289.062,290.448,75.0529,32.0699,0.5
4073,2003,4029,400,400,1400,3.84,0,7,140,30,20,16,0,0,6,50,3,2,19.5032,289.763,289.075,52.1469,31.6054,0.5
4074,4029,3003,400,400,1400,3.84,0,7,140,30,20,16,0,0,6,50,3,2,17.9994,288.147,285.647,50.3802,25.3754,0.5
4075,2004,4030,400,400,1400,3.84,0,7,140,30,20,16,0,0,6,50,3,2,20.255,287.554,287.755,50.7,35.968,0.5
4076,4030,3004,400,400,1400,3.84,0,7,140,30,20,16,0,0,6,50,3,2,17.3349,281.701,293.363,51.1018,29.4786,0.5
4078,3003,4031,400,400,1400,3.84,0,7,140,30,20,16,0,0,6,75,2,2,20.1441,290.412,290.867,78.4674,31.4169,0.5
