column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
3,3,1003,400,400,2850,3.84,0,7,140,30,12,12,4,2,6,75,2,2,17.8231,287.056,286.688,77.4444,34.2798,0.5
4,4,1004,300,300,2850,2.16,0,7,140,30,16,12,0,1,6,125,2,2,21.9202,289.762,291.693,125.96,34.1115,0.5
5,5,1005,300,300,2850,2.16,0,7,140,30,12,12,2,0,6,100,2,2,21.2987,284.722,289.315,102.038,31.294,0.5
6,6,1006,400,400,2850,3.84,0,7,140,30,16,12,5,4,6,50,2,2,21.2177,286.076,294.978,50.1422,28.4922,0.5
7,7,1007,450,450,2850,4.86,0,7,140,30,16,12,6,3,6,50,2,2,20.7186,291.422,287.734,52.1763,25.9761,0.5
8,8,1008,400,400,2850,3.84,0,7,140,30,20,16,1,0,6,50,2,2,19.9338,291.77,284.483,50.2505,27.2898,0.5
9,9,1009,300,300,2850,2.16,0,7,140,30,12,12,2,0,6,100,2,2,22.3156,286.391,284.658,101.096,33.9804,0.5
10,10,1010,400,400,2850,3.84,0,7,140,30,16,12,5,4,6,50,2,2,20.5403,293.348,289.917,51.7717,31.6876,0.5
11,11,1011,450,450,2850,4.86,0,7,140,30,16,12,6,4,6,50,2,2,20.342,289.255,288.573,51.9024,26.4561,0.5
12,12,1012,400,400,2850,3.84,0,7,140,30,20,16,1,0,6,50,2,2,22.3265,288.022,285.754,50.5426,36.3194,0.5
13,13,1013,300,300,2850,2.16,0,7,140,30,12,12,2,0,6,100,2,2,21.8072,287.106,288.345,100.776,30.0745,0.5
14,14,1014,400,400,2850,3.84,0,7,140,30,16,12,5,4,6,50,2,2,19.3836,286.794,288.215,50.0629,27.2892,0.5
15,15,1015,450,450,2850,4.86,0,7,140,30,16,12,6,4,6,50,2,2,21.7222,292.834,291.099,50.1997,29.847,0.5
16,16,1016,400,400,2850,3.84,0,7,140,30,20,16,1,0,6,50,2,2,19.7879,289.459,283.384,52.2059,29.2433,0.5
17,17,1017,300,300,2850,2.16,0,7,140,30,12,12,2,0,6,100,2,2,23.4287,288.247,284.535,100.896,27.7128,0.5
18,18,1018,400,400,2850,3.84,0,7,140,30,16,12,5,4,6,50,2,2,24.0538,283.113,287.584,51.0089,31.0364,0.5
19,19,1019,450,450,2850,4.86,0,7,140,30,16,12,6,4,6,50,2,2,21.6171,286.042,284.898,51.9251,30.197,0.5
20,20,1020,400,400,2850,3.84,0,7,140,30,20,16,1,0,6,50,2,2,23.9773,292.592,294.646,52.4577,28.2518,0.5
