beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1019,1001,1002,250,450,4950,21.3531,4.6,21.3531,4.6,11.5,140,30,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,1,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,21.6316,288.26,298.542,153.882,194.08,178.135,29.5624,1
1020,1002,1003,250,450,4950,21.3531,4.6,21.3531,4.6,11.5,140,30,25,2,25,1,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,34.743,289.998,300.185,174.549,179.858,159.496,26.8743,1
1021,1003,1004,250,450,3000,2.7,0,2.7,0,11.5,140,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,1,8,150,2,2,30.1784,295.047,280.78,191.42,160.155,167.025,23.3574,1
1022,1004,1005,250,450,4950,21.3531,4.6,21.3531,4.6,11.5,140,30,25,2,25,1,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,31.9066,284.727,277.341,188.446,157.621,168.056,37.0882,1
1023,1005,1006,250,450,4950,21.3531,4.6,21.3531,4.6,11.5,140,30,25,2,25,1,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,30.609,304.936,284.598,172.107,164.592,178.1,25.3559,1
1024,1007,1008,300,500,4950,26.9062,9.2,26.9062,9.2,11.5,140,30,25,2,25,1,20,2,20,0,8,150,2,2,25,2,25,0,20,2,20,1,8,150,2,2,25,2,25,2,20,2,20,0,8,125,2,2,29.5974,307.13,289.56,165.488,184.366,160.822,29.5409,1
1025,1008,1009,300,500,4950,26.9062,9.2,26.9062,9.2,11.5,140,30,25,2,25,2,20,2,20,0,8,125,2,2,25,2,25,0,20,2,20,1,8,150,2,2,25,2,25,2,20,2,20,1,8,150,2,2,32.7829,294.841,288.436,125.083,170.712,194.486,31.7693,1
1026,1009,1010,300,500,3000,16.48,6.9,16.48,6.9,11.5,140,30,25,2,25,2,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,0,8,150,2,2,25,2,25,2,20,2,20,1,8,150,2,2,46.9631,291.678,286.826,179.007,175.557,163.452,26.5333,1
1027,1010,1011,300,500,4950,26.9062,9.2,26.9062,9.2,11.5,140,30,25,2,25,2,20,2,20,1,8,150,2,2,25,2,25,0,20,2,20,1,8,150,2,2,25,2,25,2,20,2,20,0,8,125,2,2,25.0758,292.528,297.941,164.491,176.784,134.919,29.6956,1
1028,1011,1012,300,500,4950,26.9062,9.2,26.9062,9.2,11.5,140,30,25,2,25,2,20,2,20,0,8,125,2,2,25,2,25,0,20,2,20,1,8,150,2,2,25,2,25,1,20,2,20,0,8,150,2,2,28.9901,296.412,289.272,139.663,157.855,182.412,30.4622,1
