node_id,x-coord [m],y-coord [m],z-coord [m],bottom_column,top_column,left_beam_x,right_beam_x,left_beam_y,right_beam_y,fcm [MPa],model_type_q
1,0,0,0,,1,,,,,elastic,elastic
2,4.45,0,0,,2,,,,,elastic,elastic
3,8.9,0,0,,3,,,,,elastic,elastic
4,13.35,0,0,,4062,,,,,elastic,elastic
5,16.35,0,0,,4064,,,,,elastic,elastic
6,20.8,0,0,,6,,,,,elastic,elastic
7,25.25,0,0,,7,,,,,elastic,elastic
8,29.7,0,0,,8,,,,,elastic,elastic
9,0,5.15,0,,9,,,,,elastic,elastic
10,4.45,5.15,0,,10,,,,,elastic,elastic
11,8.9,5.15,0,,11,,,,,elastic,elastic
12,13.35,5.15,0,,12,,,,,elastic,elastic
13,16.35,5.15,0,,13,,,,,elastic,elastic
14,20.8,5.15,0,,14,,,,,elastic,elastic
15,25.25,5.15,0,,15,,,,,elastic,elastic
16,29.7,5.15,0,,16,,,,,elastic,elastic
17,0,10.3,0,,17,,,,,elastic,elastic
18,4.45,10.3,0,,18,,,,,elastic,elastic
19,8.9,10.3,0,,19,,,,,elastic,elastic
20,13.35,10.3,0,,20,,,,,elastic,elastic
21,16.35,10.3,0,,21,,,,,elastic,elastic
22,20.8,10.3,0,,22,,,,,elastic,elastic
23,25.25,10.3,0,,23,,,,,elastic,elastic
24,29.7,10.3,0,,24,,,,,elastic,elastic
1001,0,0,3.25,1,1001,,1025,,1046,elastic,elastic
1002,4.45,0,3.25,2,1002,1025,1026,,1047,elastic,elastic
1003,8.9,0,3.25,3,1003,1026,1027,,1048,elastic,elastic
1004,13.35,0,3.25,4063,4067,1027,1028,,1049,elastic,elastic
1005,16.35,0,3.25,4065,4069,1028,1029,,1050,elastic,elastic
1006,20.8,0,3.25,6,1006,1029,1030,,1051,elastic,elastic
1007,25.25,0,3.25,7,1007,1030,1031,,1052,elastic,elastic
1008,29.7,0,3.25,8,1008,1031,,,1053,elastic,elastic
1009,0,5.15,3.25,9,1009,,1032,1046,1054,elastic,elastic
1010,4.45,5.15,3.25,10,1010,1032,1033,1047,1055,elastic,elastic
1011,8.9,5.15,3.25,11,1011,1033,1034,1048,1056,elastic,elastic
1012,13.35,5.15,3.25,12,1012,1034,1035,1049,1057,elastic,elastic
1013,16.35,5.15,3.25,13,1013,1035,1036,1050,1058,elastic,elastic
1014,20.8,5.15,3.25,14,1014,1036,1037,1051,1059,elastic,elastic
1015,25.25,5.15,3.25,15,1015,1037,1038,1052,1060,elastic,elastic
1016,29.7,5.15,3.25,16,1016,1038,,1053,1061,elastic,elastic
1017,0,10.3,3.25,17,1017,,1039,1054,,elastic,elastic
1018,4.45,10.3,3.25,18,1018,1039,1040,1055,,elastic,elastic
1019,8.9,10.3,3.25,19,1019,1040,1041,1056,,elastic,elastic
1020,13.35,10.3,3.25,20,1020,1041,1042,1057,,elastic,elastic
1021,16.35,10.3,3.25,21,1021,1042,1043,1058,,elastic,elastic
1022,20.8,10.3,3.25,22,1022,1043,1044,1059,,elastic,elastic
1023,25.25,10.3,3.25,23,1023,1044,1045,1060,,elastic,elastic
1024,29.7,10.3,3.25,24,1024,1045,,1061,,elastic,elastic
2001,0,0,5.95,1001,2001,,2025,,2046,elastic,elastic
2002,4.45,0,5.95,1002,2002,2025,2026,,2047,elastic,elastic
2003,8.9,0,5.95,1003,2003,2026,2027,,2048,elastic,elastic
2004,13.35,0,5.95,4068,4072,2027,2028,,2049,elastic,elastic
2005,16.35,0,5.95,4070,4074,2028,2029,,2050,elastic,elastic
2006,20.8,0,5.95,1006,2006,2029,2030,,2051,elastic,elastic
2007,25.25,0,5.95,1007,2007,2030,2031,,2052,elastic,elastic
2008,29.7,0,5.95,1008,2008,2031,,,2053,elastic,elastic
2009,0,5.15,5.95,1009,2009,,2032,2046,2054,elastic,elastic
2010,4.45,5.15,5.95,1010,2010,2032,2033,2047,2055,elastic,elastic
2011,8.9,5.15,5.95,1011,2011,2033,2034,2048,2056,elastic,elastic
2012,13.35,5.15,5.95,1012,2012,2034,2035,2049,2057,elastic,elastic
2013,16.35,5.15,5.95,1013,2013,2035,2036,2050,2058,elastic,elastic
2014,20.8,5.15,5.95,1014,2014,2036,2037,2051,2059,elastic,elastic
2015,25.25,5.15,5.95,1015,2015,2037,2038,2052,2060,elastic,elastic
2016,29.7,5.15,5.95,1016,2016,2038,,2053,2061,elastic,elastic
2017,0,10.3,5.95,1017,2017,,2039,2054,,elastic,elastic
2018,4.45,10.3,5.95,1018,2018,2039,2040,2055,,elastic,elastic
2019,8.9,10.3,5.95,1019,2019,2040,2041,2056,,elastic,elastic
2020,13.35,10.3,5.95,1020,2020,2041,2042,2057,,elastic,elastic
2021,16.35,10.3,5.95,1021,2021,2042,2043,2058,,elastic,elastic
2022,20.8,10.3,5.95,1022,2022,2043,2044,2059,,elastic,elastic
2023,25.25,10.3,5.95,1023,2023,2044,2045,2060,,elastic,elastic
2024,29.7,10.3,5.95,1024,2024,2045,,2061,,elastic,elastic
3001,0,0,8.65,2001,3001,,3025,,3046,elastic,elastic
3002,4.45,0,8.65,2002,3002,3025,3026,,3047,elastic,elastic
3003,8.9,0,8.65,2003,3003,3026,3027,,3048,elastic,elastic
3004,13.35,0,8.65,4073,4077,3027,3028,,3049,elastic,elastic
3005,16.35,0,8.65,4075,4079,3028,3029,,3050,elastic,elastic
3006,20.8,0,8.65,2006,3006,3029,3030,,3051,elastic,elastic
3007,25.25,0,8.65,2007,3007,3030,3031,,3052,elastic,elastic
3008,29.7,0,8.65,2008,3008,3031,,,3053,elastic,elastic
3009,0,5.15,8.65,2009,3009,,3032,3046,3054,elastic,elastic
3010,4.45,5.15,8.65,2010,3010,3032,3033,3047,3055,elastic,elastic
3011,8.9,5.15,8.65,2011,3011,3033,3034,3048,3056,elastic,elastic
3012,13.35,5.15,8.65,2012,3012,3034,3035,3049,3057,elastic,elastic
3013,16.35,5.15,8.65,2013,3013,3035,3036,3050,3058,elastic,elastic
